strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB192,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0040,"Plate 4, 5J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.4,FALSE,,Coding,1," ""TetR repressible promoter""",TRUE,1,not.sequenced
BB193,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J36335,"Plate 4, 5K",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,10.9,FALSE,,Reporter,1," ""Lac+RBS+KaiA+Lac+RBS+KaiC""",TRUE,4.541666667,biobrick.minor.discrepancy
BB194,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0051,"Plate 4, 5L",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.1,FALSE,,Reporter,1," ""promoter (lambda cI regulated)""",FALSE,0.875,NA
BB195,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0053,"Plate 4, 5N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.83,FALSE,,Reporter,1," ""Promoter (p22 cII regulated)""",FALSE,1.179166667,NA
BB196,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0062,"Plate 4, 5P",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.26,FALSE,,Regulatory,1," ""Promoter (luxR & HSL regulated -- lux pR)""",FALSE,1.358333333,NA
BB197,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1033000,"Plate 4, 6C",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,7.67,FALSE,,Regulatory,1," ""Tyrosine ammonia-lyase (TAL) with RBS""",FALSE,3.195833333,NA
BB198,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1092001,"Plate 4, 6E",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,4.3,FALSE,,Regulatory,1," ""T7-RBS-QsrR""",FALSE,1.791666667,NA
BB199,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1104204,"Plate 4, 6G",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.97,FALSE,,Regulatory,1," ""AhpCp2D1""",FALSE,1.654166667,NA
BB200,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1166002,"Plate 4, 6I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp033,11.9,FALSE,,Composite,6," ""HlyA-tag+Secretion system""",TRUE,4.958333333,not.sequenced
BB201,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1033910,"Plate 4, 6K",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,5.17,FALSE,,Regulatory,1," ""fwYellow  yellow chromoprotein""",FALSE,2.154166667,NA
BB202,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1033916,"Plate 4, 6M",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,6.87,FALSE,,Regulatory,1," ""amajLime  yellow-green chromoprotein""",FALSE,2.8625,NA
BB203,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150001,"Plate 4, 6O",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,4.6,FALSE,,Regulatory,1," ""VP16""",FALSE,1.916666667,NA
BB204,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523006,"Plate 1, 6H",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp007,48.7,FALSE,,Regulatory,1," ""Plac + LacZ + malS""",TRUE,20.29166667,biobrick.confirmed
BB205,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575021,"Plate 1, 6I",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,15.3,FALSE,,Coding,1," ""Genomic LasR/PAI1 Inducible Promoter (Short)""",TRUE,6.375,biobrick.minor.discrepancy
BB206,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K538101,"Plate 1, 6J",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,17.9,FALSE,,Device,2," ""RBS + Cpn60""",TRUE,7.458333333,not.sequenced
BB207,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523006,"Plate 1, 6K",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,FALSE,,Regulatory,1," ""Plac + LacZ + malS""",FALSE,0,NA
BB208,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K525710,"Plate 1, 6L",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,15.6,FALSE,,Composite,1," ""DNA ligase from Escherichia coli (LigA) with PT7  RBS and His-tag""",TRUE,6.5,biobrick.confirmed
BB209,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K590034,"Plate 1, 6M",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,4.21,FALSE,,Coding,1," ""FabH2""",TRUE,1.754166667,biobrick.confirmed
BB210,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608351,"Plate 1, 6N",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,FALSE,,Coding,1," ""(correct) temperature sensitive promoter""",TRUE,0,not.sequenced
BB211,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K576003,"Plate 1, 6O",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,2.77,FALSE,,Coding,1," ""Left Part of Self-Excising Ribozyme""",TRUE,1.154166667,biobrick.confirmed
BB212,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K564012,"Plate 1, 6P",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exo033,NA,FALSE,,Coding,1,"""promoter and RBS of E. coli chitoporin translationally fused with lacZ.""",FALSE,0,NA
BB213,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K607035,"Plate 1, 7A",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,1.87,FALSE,,Composite,2," ""pUC18 replication origin""",TRUE,0.779166667,biobrick.confirmed
BB214,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733008,"Plate 1, 7B",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,4.94,FALSE,,Composite,2,"""ytC + linker + FLAG""",TRUE,2.058333333,biobrick.confirmed
BB215,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608351,"Plate 1, 7C",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exo033,9.97,FALSE,,Regulatory,1," ""(correct) temperature sensitive promoter""",TRUE,4.154166667,not.sequenced
BB216,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733009,"Plate 1, 7D",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp011,NA,TRUE,GFP,Translational_Unit,2,"""Ptms+E0240: Ptms+RBS+GFP+Double""",TRUE,0,not.sequenced
BB217,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K515007,"Plate 1, 7E",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp011,NA,FALSE,,Coding,1,"""Dendra2""",TRUE,0,not.sequenced
BB218,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733010,"Plate 1, 7F",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009/exp026/exp054/exp051/exp050,6.65,FALSE,,Coding,1," ""<i>Ptms</i>+RBS+<i>ydcD</i>.""",TRUE,2.770833333,biobrick.confirmed
BB219,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K584000,"Plate 1, 7G",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,TRUE,GFP,Composite,1,"""pBAD + GFP generator""",TRUE,0,not.sequenced
BB220,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733013,"Plate 1, 7H",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009/exp054/exp051/exp050,18.1,FALSE,,Composite,1," ""<i>Pveg</i>+R.B.S.""",TRUE,7.541666667,biobrick.confirmed
BB221,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523008,"Plate 1, 7I",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,FALSE,,RNA,1,"""INP for BioSandwich""",FALSE,0,NA
BB222,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733014,"Plate 1, 7J",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,FALSE,,DNA,1,"""Pveg+RBS+ydjM+Bmp2""",FALSE,0,NA
BB223,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K660610,"Plate 1, 7K",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,FALSE,,Coding,1," ""RBS + RcsB""",TRUE,0,not.sequenced
BB224,06.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K145014,"Plate 4, 1E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,FALSE,,Composite,1,"""T7 RNA Polymerase with UmuD derived tag""",FALSE,0,NA
BB225,06.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K145302,"Plate 4, 1G",spring 2018 iGEM distribution,Jordan CLements,,Orange Box,exp007,NA,FALSE,,Regulatory,2,"""luxI generator controlled by key/lock""",TRUE,0,not.sequenced
BB226,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,K118000,"Plate 4, 1M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015/exp026,NA,FALSE,,Composite,2,"""dxs coding sequence encoding 1-deoxyxylulose-5-phosphate synthase""",TRUE,0,not.sequenced
BB227,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,I746101,"Plate 4, 5M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,FALSE,,Signalling,3," ""I746100 (AIP sensor infrastructure - agrC + agrA with RBSes) + B0015 (Terminator)""",FALSE,0,NA
BB228,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,K118028,"Plate 4, 3G",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,FALSE,,Coding,1," ""beta-glucosidase gene bglX (chu_2268) from Cytophaga hutchinsonii""",TRUE,0,not.sequenced
BB229,06.03.19,E. coli DH10B + burden monitor,"Kan,cam",pSB1C3,I742111,"Plate 4, 3I",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,FALSE,,Composite,11,"""Limonene synthase gene with ribosome binding site""Limonene synthase gene with ribosome binding site""",TRUE,0,not.sequenced
BB230,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,I746381,"Plate 4, 3M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,FALSE,,Composite,11," ""PSP3 pag inducing PO promoter""",TRUE,0,not.sequenced
BB231,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,I746391,"Plate 4, 3O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,TRUE,GFP,Coding,1," ""phiR73 delta inducing PO promoter""",TRUE,0,not.sequenced
BB232,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0051,"Plate 4, 3F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,FALSE,,Coding,1,"""cI repressor from E. coli phage lambda (+LVA)""",FALSE,0,NA
Bb233,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0052,"Plate 4, 3H",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,FALSE,,Measurement,5,"""cI repressor from phage 434 (+LVA)""",FALSE,0,NA
BB234,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0053,"Plate 4, 3J",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,FALSE,,Composite,11,"""c2 repressor from Salmonella phage P22 (+LVA)""",FALSE,0,NA
BB235,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0060,"Plate 4, 3L",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,FALSE,,Composite,11,"""autoinducer inactivation enzyme from Bacillus; hydrolyzes acetyl homoserine lactone""",FALSE,0,NA
BB236,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0061,"Plate 4, 3N",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,FALSE,,Generator,2," ""autoinducer synthetase for AHL""",FALSE,0,NA
BB237,06.03.19,E. coli DH10B + burden monitor,"Kan, amp",pSB1A2,C0062,"Plate 4, 3P",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,FALSE,,Generator,2,"""luxR repressor/activator, (no LVA?)""",FALSE,0,NA
BB238,06.05.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,K648013,"Plate 4, 2M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,14.8,TRUE,GFP,Protein_Domain,1," ""GFP with Standard 25 Prefix/Suffix """,TRUE,6.166666667,not.sequenced
BB239,06.05.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I6057,"Plate 4, 5O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,17.6,FALSE,CFP,Device,1," ""Promoter O_H Test I0500.E0420""",TRUE,7.333333333,biobrick.minor.discrepancy
BB240,06.05.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I746375,"Plate 4, 3K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,21.3,TRUE,GFP,Coding,1," ""P2 ogr inducing PLL promoter""",TRUE,8.875,biobrick.minor.discrepancy
BB241,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,J23108,"Plate 4, 4C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,FALSE,,Device,1," ""P2 ogr inducing PLL promoter""",TRUE,0,not.sequenced
BB242,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,J23109,"Plate 4, 4E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,FALSE,,Coding,1," ""constitutive promoter family member """,TRUE,0,not.sequenced
BB243,06.05.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,I746908,"Plate 4, 5C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,TRUE,GFP,Reporter,1,"""superfolder GFP driven by pBAD promoter""",TRUE,0,not.sequenced
BB244,06.05.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K137076,"Plate 4, 5E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017/exp026,6.95,FALSE,,Composite,1,"""AHL inducible production of hydrogen peroxide""",TRUE,2.895833333,not.sequenced
BB245,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,K137019,"Plate 4, 5G",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,14.2,TRUE,GFP,Reporter,1,"""AHL receiver + tet inverter + GFP""",TRUE,5.916666667,not.sequenced
BB246,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,K1166002,"Plate 4, 6I",spring 2018 iGEM distribution,Jordan Clements,Appears to encode a misfolded GFP that quenches GFP signal?,Orange Box,exp010/exp017,7.29,TRUE,GFP,Coding,1,"""HlyA-tag+Secretion system""",TRUE,3.0375,not.sequenced
BB247,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,K1033910,"Plate 4, 6M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,FALSE,,Translational_Unit,1," ""fwYellow  yellow chromoprotein""",TRUE,0,not.sequenced
BB248,06.06.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,K1033916,"Plate 4, 6K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,9.88,FALSE,,Reporter,1,"""amajLime, yellow-green chromoprotein",TRUE,4.116666667,not.sequenced
BB249,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,K1150001,"Plate 4, 60",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,FALSE,,Coding,1,"""VP16""",TRUE,0,not.sequenced
BB250,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K649303,"Plate 2, 1A",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,FALSE,,Protein_Domain,1," ""PlacIQ-RBS-ispS""",FALSE,0,NA
BB251,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K909007,"Plate 2, 1B",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,9.66,FALSE,,Terminator,1," ""TetR DNA binding domain containing BamHI site for protein fusions""",TRUE,4.025,not.sequenced
BB252,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K598014,"Plate 2, 1C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,6.49,FALSE,,Protein_Domain,1," ""pBAD+HH+CdIntron+E0040+b0015""",TRUE,2.704166667,biobrick.confirmed
BB253,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K777113,"Plate 2, 1D",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,FALSE,,Terminator,1," ""motA""",FALSE,0,NA
BB254,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K598019,"Plate 2, 1E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,FALSE,,Protein_Domain,1," ""B0015+pBAD+vioABD+B0015+pBAD+TPP Down-regulated Hammerhead Ribozyme 2.5+vioE""",FALSE,0,NA
BB255,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K777117,"Plate 2, 1F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.38,FALSE,,Terminator,1," ""motB""",TRUE,3.075,biobrick.confirmed
BB256,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K812032,"Plate 2, 1H",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,15.2,FALSE,CFP,Coding,1," ""mCFP with kozak sequence for eukaryotic expression""",TRUE,6.333333333,not.sequenced
BB257,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K567001,"Plate 2, 1I",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,FALSE,,Composite,10,"""lacI-Ptrc-tRNA(Arg)""",FALSE,0,NA
BB258,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K936013,"Plate 2, 1J",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.03,FALSE,,Coding,1," ""pelB-LC-Cutinase fusion protein""",TRUE,2.095833333,not.sequenced
BB259,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K567008,"Plate 2, 1K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.89,FALSE,,Translational_Unit,2," ""PT7-Luc-2AGG""",TRUE,2.454166667,biobrick.confirmed
BB260,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K936000,"Plate 2, 1L",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.83,FALSE,,Coding,1," ""LC Cutinase""",TRUE,3.679166667,biobrick.confirmed
BB261,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K567015,"Plate 2, 1M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.79,FALSE,,Device,1," ""PT7-metGN""",TRUE,2.4125,biobrick.confirmed
BB262,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K876000,"Plate 2, 1N",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.24,FALSE,,Regulatory,1," ""pLac-TetR""",TRUE,3.433333333,biobrick.confirmed
BB263,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K567018,"Plate 2, 1O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,19.1,TRUE,GFP,Coding,2," ""PT7-GFP-TAG-RFP""",TRUE,7.958333333,not.sequenced
BB264,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K773002,"Plate 2, 1P",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.75,FALSE,,Composite,4," ""Proteorhodopsin""",TRUE,3.645833333,biobrick.confirmed
BB265,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K747000,"Plate 2, 2A",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,11.6,FALSE,,RNA,1," ""TAL-Protein_AA1_DiRepeat""",TRUE,4.833333333,biobrick.confirmed
BB266,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,B0012,"Plate 2, 2B",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.66,FALSE,,Composite,2," ""TE from coliphageT7""",TRUE,3.608333333,not.sequenced
BB267,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K747001,"Plate 2, 2C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.23,FALSE,,Measurement,5," ""TAL-Protein_AC1_Direpeat""",TRUE,3.0125,biobrick.minor.discrepancy
BB268,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,B0013,"Plate 2, 2D",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,10.4,FALSE,,Coding,1," ""TE from coliphage T7 (+/-)""",TRUE,4.333333333,not.sequenced
BB269,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,K747002,"Plate 2, 2E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.31,FALSE,,Composite,5," ""TAL-Protein_AG1_Direpeat""",TRUE,3.045833333,not.sequenced
BB270,06.11.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,B0023,"Plate 2, 2F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp014,NA,FALSE,,Composite,1," ""TE from coliphage T7  reversed""",TRUE,0,not.sequenced
BB271,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K654058,"Plate 1, 10E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,14.1,FALSE,,Regulatory,1," ""Thioesterase (TesA from E. coli) with 8-His Tag""",TRUE,5.875,biobrick.minor.discrepancy
BB272,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K639003,"Plate 1, 10F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,18,FALSE,RFP,Regulatory,1," ""rrnB P1-LacI-pLac-mCherry plausible stress sensor""",TRUE,7.5,biobrick.minor.discrepancy
BB273,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K634001,"Plate 1, 10G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,12.1,FALSE,,Regulatory,1," ""exaE""",TRUE,5.041666667,biobrick.minor.discrepancy
BB274,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K606017,"Plate 1, 10H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,26,FALSE,,Intermediate,1," ""T7 polymerase expression casette for Bacillus Subtilis""",TRUE,10.83333333,biobrick.confirmed
BB275,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K624003,"Plate 1, 10I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.58,FALSE,,Coding,1," ""rep gene""",TRUE,3.991666667,biobrick.confirmed
BB276,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K627011,"Plate 1, 10J",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,21.4,FALSE,,Regulatory,1," ""Fusion part of pBAD arabinose-inducible induction system and the HRV 14_3C protease""",TRUE,8.916666667,biobrick.confirmed
BB277,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K624000,"Plate 1, 10K",,,,Orange Box,exp020,10.1,FALSE,,Regulatory,1," ""ori+Pmsp1""",TRUE,4.208333333,biobrick.confirmed
BB278,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K624004,"Plate 1, 10M",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,16.6,FALSE,,Composite,1," ""ori+Pmsp1+rep (pYMB essentials)""",TRUE,6.916666667,biobrick.confirmed
BB279,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K592016,"Plate 1, 10N",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,24.3,FALSE,,Regulatory,1," ""B0034-YF1-B0034-FixJ  blue light sensor and RR with RBS """,TRUE,10.125,biobrick.confirmed
BB280,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K581005,"Plate 1, 10O",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.36,FALSE,,Regulatory,1," ""Pc+sgrS(wt)+Terminator (small RNA regulator  conjugate part of ptsG(wt)) """,TRUE,3.066666667,biobrick.confirmed
BB281,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K592018,"Plate 1, 10P",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,19.6,FALSE,,Composite,8," ""B0034-cph8""",TRUE,8.166666667,biobrick.confirmed
BB282,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K516132,"Plate 1, 11A",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.58,FALSE,RFP,Regulatory,1," ""Constitutive promoter [J23101] with mRFP  RBS B0032""",TRUE,3.991666667,biobrick.confirmed
BB283,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K797001,"Plate 1, 11B",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,12.2,FALSE,,Composite,8," ""phage shock protein A: one of the components of out Tat cassette""",TRUE,5.083333333,biobrick.confirmed
BB284,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K553003,"Plate 1, 11C",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,NA,FALSE,,Regulatory,1," ""constitutive production of LasR trans-activator""",TRUE,0,not.sequenced
BB285,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K914001,"Plate 1, 11D",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.55,FALSE,,Regulatory,1," ""pLac Colicin E2 Immunity protein""",TRUE,3.145833333,not.sequenced
BB286,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K541501,"Plate 1, 11E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,4.75,FALSE,,Composite,8," ""Promoter Pveg  RBS spoVG and SacB signal peptide for B. subtilis""",TRUE,1.979166667,biobrick.confirmed
BB287,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K914003,"Plate 1, 11F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,8.11,FALSE,,Reporter,4," ""L-rhamnose-inducible promoter (pRha)""",TRUE,3.379166667,not.sequenced
