strain,DATE,SPECIES.SUBTYPE,antibiotic,vector,accession,NOTES.RE..CONTRUCTION..ORIGIN..PHENOTYPE,STRAIN.ACQUIRED.FROM.PARENT.STRAIN,DEPOSITOR,OTHER.NOTES,GLYCEROL.STOCK.LOCATION,BURDEN.ASSAY,MINIPREP.DNA.CONCENTRATION..ng.uL.,SEQUENCED...0..IF.NOT,SEQUENCE.CONFIRMED.,GFP.inteference,fluorescent.protein,TYPE,SUBPARTS,SHORT.DESCRIPTION.,measured
BB190,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0032,"Plate 4, 5F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,5.96,2.483333333,,TRUE,YFP,Generator,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE
BB191,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0011,"Plate 4, 5H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.41,1.004166667,,FALSE,,Coding,1," ""Promoter (lacI regulated  lambda pL hybrid)""",TRUE
BB192,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0040,"Plate 4, 5J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.4,1,,FALSE,,Coding,1," ""TetR repressible promoter""",TRUE
BB193,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J36335,"Plate 4, 5K",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,10.9,4.541666667,,FALSE,,Reporter,1," ""Lac+RBS+KaiA+Lac+RBS+KaiC""",TRUE
BB194,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0051,"Plate 4, 5L",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.1,0.875,,FALSE,,Reporter,1," ""promoter (lambda cI regulated)""",FALSE
BB195,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0053,"Plate 4, 5N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.83,1.179166667,,FALSE,,Reporter,1," ""Promoter (p22 cII regulated)""",FALSE
BB196,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0062,"Plate 4, 5P",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.26,1.358333333,,FALSE,,Regulatory,1," ""Promoter (luxR & HSL regulated -- lux pR)""",FALSE
BB197,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033000,"Plate 4, 6C",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,7.67,3.195833333,,FALSE,,Regulatory,1," ""Tyrosine ammonia-lyase (TAL) with RBS""",FALSE
BB198,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1092001,"Plate 4, 6E",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,4.3,1.791666667,,FALSE,,Regulatory,1," ""T7-RBS-QsrR""",FALSE
BB199,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1104204,"Plate 4, 6G",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.97,1.654166667,,FALSE,,Regulatory,1," ""AhpCp2D1""",FALSE
BB200,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1166002,"Plate 4, 6I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp033,11.9,4.958333333,,FALSE,,Composite,6," ""HlyA-tag+Secretion system""",TRUE
BB201,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033910,"Plate 4, 6K",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,5.17,2.154166667,,FALSE,,Regulatory,1," ""fwYellow  yellow chromoprotein""",FALSE
BB202,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033916,"Plate 4, 6M",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,6.87,2.8625,,FALSE,,Regulatory,1," ""amajLime  yellow-green chromoprotein""",FALSE
BB203,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150001,"Plate 4, 6O",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,4.6,1.916666667,,FALSE,,Regulatory,1," ""VP16""",FALSE
BB204,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523006,"Plate 1, 6H",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp007,48.7,20.29166667,,FALSE,,Regulatory,1," ""Plac + LacZ + malS""",TRUE
BB205,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575021,"Plate 1, 6I",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,15.3,6.375,,FALSE,,Coding,1," ""Genomic LasR/PAI1 Inducible Promoter (Short)""",TRUE
BB206,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K538101,"Plate 1, 6J",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,17.9,7.458333333,,FALSE,,Device,2," ""RBS + Cpn60""",TRUE
BB207,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523006,"Plate 1, 6K",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,0,,FALSE,,Regulatory,1," ""Plac + LacZ + malS""",FALSE
BB208,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K525710,"Plate 1, 6L",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,15.6,6.5,,FALSE,,Composite,1," ""DNA ligase from Escherichia coli (LigA) with PT7  RBS and His-tag""",TRUE
BB209,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K590034,"Plate 1, 6M",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,4.21,1.754166667,,FALSE,,Coding,1," ""FabH2""",TRUE
BB210,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608351,"Plate 1, 6N",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,0,,FALSE,,Coding,1," ""(correct) temperature sensitive promoter""",TRUE
BB211,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K576003,"Plate 1, 6O",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,2.77,1.154166667,,FALSE,,Coding,1," ""Left Part of Self-Excising Ribozyme""",TRUE
BB212,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K564012,"Plate 1, 6P",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exo033,NA,0,,FALSE,,Coding,1,"""promoter and RBS of E. coli chitoporin translationally fused with lacZ.""",FALSE
BB213,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K607035,"Plate 1, 7A",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,1.87,0.779166667,,FALSE,,Composite,2," ""pUC18 replication origin""",TRUE
BB214,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733008,"Plate 1, 7B",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,4.94,2.058333333,,FALSE,,Composite,2,"""ytC + linker + FLAG""",TRUE
BB215,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608351,"Plate 1, 7C",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exo033,9.97,4.154166667,,FALSE,,Regulatory,1," ""(correct) temperature sensitive promoter""",TRUE
BB216,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733009,"Plate 1, 7D",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp011,NA,0,,TRUE,GFP,Translational_Unit,2,"""Ptms+BBa_E0240: Ptms+RBS+GFP+Double""",TRUE
BB217,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K515007,"Plate 1, 7E",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp011,NA,0,,FALSE,,Coding,1,"""Dendra2""",TRUE
BB218,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733010,"Plate 1, 7F",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009/exp026/exp054/exp051/exp050,6.65,2.770833333,,FALSE,,Coding,1," ""<i>Ptms</i>+RBS+<i>ydcD</i>.""",TRUE
BB219,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K584000,"Plate 1, 7G",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,0,,TRUE,GFP,Composite,1,"""pBAD + GFP generator""",TRUE
BB220,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733013,"Plate 1, 7H",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009/exp054/exp051/exp050,18.1,7.541666667,,FALSE,,Composite,1," ""<i>Pveg</i>+R.B.S.""",TRUE
BB221,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523008,"Plate 1, 7I",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,0,,FALSE,,RNA,1,"""INP for BioSandwich""",FALSE
BB222,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733014,"Plate 1, 7J",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,NA,0,,FALSE,,DNA,1,"""Pveg+RBS+ydjM+Bmp2""",FALSE
BB223,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K660610,"Plate 1, 7K",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,NA,0,,FALSE,,Coding,1," ""RBS + RcsB""",TRUE
BB224,06.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K145014,"Plate 4, 1E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,0,,FALSE,,Composite,1,"""T7 RNA Polymerase with UmuD derived tag""",FALSE
BB225,06.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K145302,"Plate 4, 1G",spring 2018 iGEM distribution,Jordan CLements,,Orange Box,exp007,NA,0,,FALSE,,Regulatory,2,"""luxI generator controlled by key/lock""",TRUE
BB226,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_K118000,"Plate 4, 1M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015/exp026,NA,0,,FALSE,,Composite,2,"""dxs coding sequence encoding 1-deoxyxylulose-5-phosphate synthase""",TRUE
BB227,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_I746101,"Plate 4, 5M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,0,,FALSE,,Signalling,3," ""I746100 (AIP sensor infrastructure - agrC + agrA with RBSes) + B0015 (Terminator)""",FALSE
BB228,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_K118028,"Plate 4, 3G",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,0,,FALSE,,Coding,1," ""beta-glucosidase gene bglX (chu_2268) from Cytophaga hutchinsonii""",TRUE
BB229,06.03.19,E. coli DH10B + burden monitor,"Kan,cam",pSB1C3,BBa_I742111,"Plate 4, 3I",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,0,,FALSE,,Composite,11,"""Limonene synthase gene with ribosome binding site""Limonene synthase gene with ribosome binding site""",TRUE
BB230,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_I746381,"Plate 4, 3M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,0,,FALSE,,Composite,11," ""PSP3 pag inducing PO promoter""",TRUE
BB231,06.03.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_I746391,"Plate 4, 3O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp015,NA,0,,TRUE,GFP,Coding,1," ""phiR73 delta inducing PO promoter""",TRUE
BB232,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0051,"Plate 4, 3F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,0,,FALSE,,Coding,1,"""cI repressor from E. coli phage lambda (+LVA)""",FALSE
Bb233,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0052,"Plate 4, 3H",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,0,,FALSE,,Measurement,5,"""cI repressor from phage 434 (+LVA)""",FALSE
BB234,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0053,"Plate 4, 3J",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,0,,FALSE,,Composite,11,"""c2 repressor from Salmonella phage P22 (+LVA)""",FALSE
BB235,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0060,"Plate 4, 3L",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,0,,FALSE,,Composite,11,"""autoinducer inactivation enzyme from Bacillus; hydrolyzes acetyl homoserine lactone""",FALSE
BB236,06.03.19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0061,"Plate 4, 3N",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007/exp026,NA,0,,FALSE,,Generator,2," ""autoinducer synthetase for AHL""",FALSE
BB237,06.03.19,E. coli DH10B + burden monitor,"Kan, amp",pSB1A2,BBa_C0062,"Plate 4, 3P",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp007,NA,0,,FALSE,,Generator,2,"""luxR repressor/activator, (no LVA?)""",FALSE
BB238,06.05.19,E. coli DH10B + burden monitor,"Kan, cam",pSB1C3,BBa_K648013,"Plate 4, 2M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,14.8,6.166666667,,TRUE,GFP,Protein_Domain,1," ""GFP with Standard 25 Prefix/Suffix """,TRUE
BB239,06.05.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I6057,"Plate 4, 5O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,17.6,7.333333333,,FALSE,CFP,Device,1," ""Promoter O_H Test I0500.E0420""",TRUE
BB240,06.05.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I746375,"Plate 4, 3K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,21.3,8.875,,TRUE,GFP,Coding,1," ""P2 ogr inducing PLL promoter""",TRUE
BB241,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_J23108,"Plate 4, 4C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,0,,FALSE,,Device,1," ""P2 ogr inducing PLL promoter""",TRUE
BB242,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_J23109,"Plate 4, 4E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,0,,FALSE,,Coding,1," ""constitutive promoter family member """,TRUE
BB243,06.05.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_I746908,"Plate 4, 5C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,0,,TRUE,GFP,Reporter,1,"""superfolder GFP driven by pBAD promoter""",TRUE
BB244,06.05.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K137076,"Plate 4, 5E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017/exp026,6.95,2.895833333,,FALSE,,Composite,1,"""AHL inducible production of hydrogen peroxide""",TRUE
BB245,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_K137019,"Plate 4, 5G",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,14.2,5.916666667,,TRUE,GFP,Reporter,1,"""AHL receiver + tet inverter + GFP""",TRUE
BB246,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_K1166002,"Plate 4, 6I",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,7.29,3.0375,,FALSE,,Coding,1,"""HlyA-tag+Secretion system""",TRUE
BB247,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_K1033910,"Plate 4, 6M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,0,,FALSE,,Translational_Unit,1," ""fwYellow  yellow chromoprotein""",TRUE
BB248,06.06.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_K1033916,"Plate 4, 6K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,9.88,4.116666667,,FALSE,,Reporter,1,"""amajLime, yellow-green chromoprotein",TRUE
BB249,06.05.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_K1150001,"Plate 4, 60",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp010/exp017,NA,0,,FALSE,,Coding,1,"""VP16""",TRUE
BB250,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K649303,"Plate 2, 1A",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,0,,FALSE,,Protein_Domain,1," ""PlacIQ-RBS-ispS""",FALSE
BB251,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K909007,"Plate 2, 1B",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,9.66,4.025,,FALSE,,Terminator,1," ""TetR DNA binding domain containing BamHI site for protein fusions""",TRUE
BB252,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K598014,"Plate 2, 1C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,6.49,2.704166667,,FALSE,,Protein_Domain,1," ""pBAD+HH+CdIntron+E0040+b0015""",TRUE
BB253,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K777113,"Plate 2, 1D",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,0,,FALSE,,Terminator,1," ""motA""",FALSE
BB254,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K598019,"Plate 2, 1E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,0,,FALSE,,Protein_Domain,1," ""B0015+pBAD+vioABD+B0015+pBAD+TPP Down-regulated Hammerhead Ribozyme 2.5+vioE""",FALSE
BB255,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K777117,"Plate 2, 1F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.38,3.075,,FALSE,,Terminator,1," ""motB""",TRUE
BB256,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K812032,"Plate 2, 1H",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,15.2,6.333333333,,FALSE,CFP,Coding,1," ""mCFP with kozak sequence for eukaryotic expression""",TRUE
BB257,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K567001,"Plate 2, 1I",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,,NA,0,,FALSE,,Composite,10,"""lacI-Ptrc-tRNA(Arg)""",FALSE
BB258,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K936013,"Plate 2, 1J",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.03,2.095833333,,FALSE,,Coding,1," ""pelB-LC-Cutinase fusion protein""",TRUE
BB259,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K567008,"Plate 2, 1K",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.89,2.454166667,,FALSE,,Translational_Unit,2," ""PT7-Luc-2AGG""",TRUE
BB260,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K936000,"Plate 2, 1L",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.83,3.679166667,,FALSE,,Coding,1," ""LC Cutinase""",TRUE
BB261,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K567015,"Plate 2, 1M",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,5.79,2.4125,,FALSE,,Device,1," ""PT7-metGN""",TRUE
BB262,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K876000,"Plate 2, 1N",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.24,3.433333333,,FALSE,,Regulatory,1," ""pLac-TetR""",TRUE
BB263,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K567018,"Plate 2, 1O",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,19.1,7.958333333,,TRUE,GFP,Coding,2," ""PT7-GFP-TAG-RFP""",TRUE
BB264,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K773002,"Plate 2, 1P",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.75,3.645833333,,FALSE,,Composite,4," ""Proteorhodopsin""",TRUE
BB265,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K747000,"Plate 2, 2A",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,11.6,4.833333333,,FALSE,,RNA,1," ""TAL-Protein_AA1_DiRepeat""",TRUE
BB266,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_B0012,"Plate 2, 2B",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,8.66,3.608333333,,FALSE,,Composite,2," ""TE from coliphageT7""",TRUE
BB267,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K747001,"Plate 2, 2C",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.23,3.0125,,FALSE,,Measurement,5," ""TAL-Protein_AC1_Direpeat""",TRUE
BB268,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_B0013,"Plate 2, 2D",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,10.4,4.333333333,,FALSE,,Coding,1," ""TE from coliphage T7 (+/-)""",TRUE
BB269,6.10.19,E. coli DH10B + burden monitor,"kan, cam ",pSB1C3,BBa_K747002,"Plate 2, 2E",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp022/exp028,7.31,3.045833333,,FALSE,,Composite,5," ""TAL-Protein_AG1_Direpeat""",TRUE
BB270,06.11.19,E. coli DH10B + burden monitor,"Kan, cam ",pSB1C3,BBa_B0023,"Plate 2, 2F",spring 2018 iGEM distribution,Jordan Clements,,Orange Box,exp014,NA,0,,FALSE,,Composite,1," ""TE from coliphage T7  reversed""",TRUE
BB271,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K654058,"Plate 1, 10E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,14.1,5.875,,FALSE,,Regulatory,1," ""Thioesterase (TesA from E. coli) with 8-His Tag""",TRUE
BB272,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K639003,"Plate 1, 10F",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,18,7.5,,FALSE,RFP,Regulatory,1," ""rrnB P1-LacI-pLac-mCherry plausible stress sensor""",TRUE
BB273,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K634001,"Plate 1, 10G",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,12.1,5.041666667,,FALSE,,Regulatory,1," ""exaE""",TRUE
BB274,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K606017,"Plate 1, 10H",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,26,10.83333333,,FALSE,,Intermediate,1," ""T7 polymerase expression casette for Bacillus Subtilis""",TRUE
BB275,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K624003,"Plate 1, 10I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.58,3.991666667,,FALSE,,Coding,1," ""rep gene""",TRUE
BB276,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K627011,"Plate 1, 10J",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,21.4,8.916666667,,FALSE,,Regulatory,1," ""Fusion part of pBAD arabinose-inducible induction system and the HRV 14_3C protease""",TRUE
BB277,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K624000,"Plate 1, 10K",,,,Orange Box,exp020,10.1,4.208333333,,FALSE,,Regulatory,1," ""ori+Pmsp1""",TRUE
BB278,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K624004,"Plate 1, 10M",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,16.6,6.916666667,,FALSE,,Composite,1," ""ori+Pmsp1+rep (pYMB essentials)""",TRUE
BB279,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K592016,"Plate 1, 10N",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,24.3,10.125,,FALSE,,Regulatory,1," ""B0034-YF1-B0034-FixJ  blue light sensor and RR with RBS """,TRUE
BB280,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K581005,"Plate 1, 10O",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.36,3.066666667,,FALSE,,Regulatory,1," ""Pc+sgrS(wt)+Terminator (small RNA regulator  conjugate part of ptsG(wt)) """,TRUE
BB281,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K592018,"Plate 1, 10P",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,19.6,8.166666667,,FALSE,,Composite,8," ""B0034-cph8""",TRUE
BB282,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K516132,"Plate 1, 11A",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,9.58,3.991666667,,FALSE,RFP,Regulatory,1," ""Constitutive promoter [J23101] with mRFP  RBS B0032""",TRUE
BB283,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K797001,"Plate 1, 11B",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,12.2,5.083333333,,FALSE,,Composite,8," ""phage shock protein A: one of the components of out Tat cassette""",TRUE
BB284,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K553003,"Plate 1, 11C",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,NA,0,,FALSE,,Regulatory,1," ""constitutive production of LasR trans-activator""",TRUE
BB285,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K914001,"Plate 1, 11D",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020,7.55,3.145833333,,FALSE,,Regulatory,1," ""pLac Colicin E2 Immunity protein""",TRUE
BB286,06.12.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K541501,"Plate 1, 11E",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp020/exp054/exp051/exp050,4.75,1.979166667,,FALSE,,Composite,8," ""Promoter Pveg  RBS spoVG and SacB signal peptide for B. subtilis""",TRUE
